,Latitude,Longitude,Unique_Squirrel_ID,Shift,Date,Age,Primary_Fur_Color,Location,Specific_Location,Running,Chasing,Climbing,Eating,Foraging,Other_Activities,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from
81,40.78097194,-73.96882712,19C-PM-1018-01,PM,2018-10-18,Adult,Gray,Ground Plane,,1,1,0,1,0,,0,0,0,0,1,0,1,0
82,40.79445851,-73.96170887,35A-PM-1013-06,PM,2018-10-13,Adult,Cinnamon,Ground Plane,,1,0,0,0,0,,0,0,0,0,0,0,0,1
83,40.77665306,-73.97018248,14E-AM-1008-09,AM,2018-10-08,Adult,Gray,Ground Plane,,1,1,0,0,0,,1,0,0,0,0,0,0,1
84,40.77660435,-73.96764105,15G-PM-1019-05,PM,2018-10-19,Adult,Gray,Above Ground,,0,0,1,0,0,,0,0,0,0,0,0,0,0
85,40.7723572,-73.97087261,10F-AM-1007-02,AM,2018-10-07,Adult,Gray,Above Ground,,0,0,1,0,0,,0,0,0,0,0,0,0,0
86,40.79821622,-73.95414535,42E-PM-1012-06,PM,2018-10-12,Adult,Cinnamon,Ground Plane,,1,0,0,0,1,,0,0,0,0,0,0,0,1
87,40.78429274,-73.96836083,22B-AM-1013-04,AM,2018-10-13,Adult,Cinnamon,Ground Plane,Under bench,0,0,0,0,1,,0,0,0,0,0,0,0,1
88,40.77733867,-73.96805206,15F-PM-1010-06,PM,2018-10-10,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,1,0
89,40.77158779,-73.97871809,5A-AM-1006-05,AM,2018-10-06,Adult,Gray,Ground Plane,near 65th St arch,0,0,0,0,1,,0,0,0,1,0,0,0,1
90,40.78956541,-73.95659059,32H-PM-1006-01,PM,2018-10-06,,Gray,Above Ground,in the European Beech,0,0,1,0,0,,0,0,0,0,0,0,0,0
91,40.79924617,-73.95657597,42C-AM-1007-02,AM,2018-10-07,,,,,0,0,0,0,0,,0,1,0,0,0,0,0,0
92,40.79873847,-73.95515395,41D-AM-1014-01,AM,2018-10-14,Adult,Gray,Ground Plane,,0,0,0,0,1,digging,0,0,0,0,0,0,1,0
93,40.7813538,-73.96419718,21G-PM-1007-01,PM,2018-10-07,Adult,Gray,Ground Plane,,0,0,0,1,0,,0,0,0,1,0,0,1,0
94,40.77685537,-73.9692884,14E-AM-1008-02,AM,2018-10-08,Adult,Gray,Ground Plane,,1,0,0,0,1,walking,0,0,0,0,0,0,0,1
95,40.7699587,-73.97085497,7H-PM-1006-04,PM,2018-10-06,Adult,Gray,Above Ground,on tree knob,0,0,0,0,0,sitting,0,0,0,0,0,0,1,0
96,40.7825112,-73.9639744,22F-AM-1007-01,AM,2018-10-07,Adult,Gray,Ground Plane,,0,0,1,0,1,,0,0,0,0,0,0,1,0
97,40.77121455,-73.97302779,7F-AM-1008-16,AM,2018-10-08,Juvenile,Gray,Above Ground,tree,0,0,0,0,0,,0,0,0,0,0,0,0,1
98,40.77246916,-73.97105414,10F-PM-1019-05,PM,2018-10-19,Adult,Black,Above Ground,"Behind fence, tree",0,0,1,0,0,,0,0,0,0,0,0,1,0
99,40.77472136,-73.97615925,10A-AM-1006-04,AM,2018-10-06,Juvenile,Gray,Above Ground,tree near large rock on Bridle Path,0,0,0,0,0,walking on branch,0,0,0,0,1,0,0,0
100,40.79506897,-73.95440077,38F-PM-1013-05,PM,2018-10-13,Juvenile,Gray,Ground Plane,,0,0,0,0,1,"being chased,was pushed by other squirrel",1,1,0,0,0,0,0,0
101,40.79936813,-73.95759862,41B-PM-1014-01,PM,2018-10-14,Adult,Gray,Above Ground,Climbing tree,0,0,1,0,0,climbing (tree),0,0,0,0,0,0,0,1
102,40.7955419,-73.96077014,36A-PM-1013-07,PM,2018-10-13,,Gray,Ground Plane,"""FIELD""",0,1,0,0,0,chasing #8,0,0,0,0,0,0,0,1
103,40.77058462,-73.97640365,5C-AM-1006-05,AM,2018-10-06,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,1,0
104,40.79081933,-73.95892496,32E-PM-1017-03,PM,2018-10-17,Adult,Gray,Above Ground,bottom of tree,0,0,0,1,0,still,0,0,0,0,0,0,1,0
105,40.79176854,-73.96346234,31A-PM-1017-04,PM,2018-10-17,Adult,Gray,Ground Plane,,0,0,0,1,1,,0,0,0,0,0,0,0,0
106,40.79784491,-73.95211102,42G-AM-1018-03,AM,2018-10-18,Adult,Gray,Ground Plane,,1,0,0,0,0,stop to look at me—then ran,0,0,0,0,0,0,0,1
107,40.79500136,-73.9574809,37D-PM-1014-04,PM,2018-10-14,Adult,Gray,Ground Plane,,0,1,0,0,1,chasing (a chipmunk),0,0,0,0,0,0,0,1
108,40.78541193,-73.96709759,24B-AM-1013-01,AM,2018-10-13,,Gray,Above Ground,,1,0,0,1,0,took nut to bury,0,0,0,0,1,0,0,1
109,40.77019416,-73.97113188,7G-AM-1010-02,AM,2018-10-10,Adult,Gray,Above Ground,,1,0,0,0,0,,0,0,0,0,1,0,0,1
